fsa,region
J0N,Laval
J0P,Salaberry-de-Valleyfield
J0R,Saint-Jerome
J0S,Beauharnois
J0T,Sainte-Agathe-des-Monts
J0V,Lachute
J0W,Val-d'Or
J0X,Gatineau
J0Y,Val-d'Or
J0Z,Taschereau
J1A,Coaticook
J1C,Brompton
J1E,Fleurimont
J1G,Sherbrooke
J1H,Sherbrooke
J1J,Jacques-Cartier
J1K,Sherbrooke
J1L,Sherbrooke
J1M,Sherbrooke
J1N,Sherbrooke
J1R,Rock Forest-Saint-Élie-Deauville
J1S,Windsor
J1T,Asbestos
J1X,Orford
J1Z,Drummondville
J2A,Drummondville
J2B,Saint-Charles-de-Drummond
J2C,Saint-Charles-de-Drummond
J2E,Saint-Charles-de-Drummond
J2G,Granby
J2H,Granby
J2J,Granby
J2K,Cowansville
J2L,Bromont
J2M,"Shefford, Quebec"
J2N,Farnham
J2R,Saint-Hyacinthe
J2S,Saint-Hyacinthe
J2T,Saint-Hyacinthe
J2W,Saint-Jean-sur-Richelieu
J2X,Saint-Jean-sur-Richelieu
J2Y,Saint-Jean-sur-Richelieu
J3A,Saint-Jean-sur-Richelieu
J3B,Saint-Jean-sur-Richelieu
J3E,Sainte-Julie
J3G,Sainte-Julie
J3H,Beloeil
J3L,Saint-Jean-sur-Richelieu
J3M,Marieville
J3N,Saint-Basile-le-Grand
J3P,Sainte-Anne-de-Sorel
J3R,Saint-Joseph-de-Sorel
J3T,Nicolet
J3V,St-Bruno-de-Montarville
J3X,Varennes
J3Y,Saint-Hubert
J3Z,Saint-Hubert
J4B,Boucherville
J4G,Longueuil
J4H,Longueuil
J4J,Longueuil
J4K,Longueuil
J4L,Longueuil
J4M,Longueuil
J4N,Longueuil
J4P,Longueuil
J4R,Greenfield Park
J4S,Saint-Lambert
J4T,Saint-Hubert
J4V,Greenfield Park
J4W,Brossard
J4X,Brossard
J4Y,Brossard
J4Z,Brossard
J5A,Saint-Constant
J5B,Delson
J5C,Sainte-Catherine
J5J,Sainte-Sophie
J5K,Saint-Colomban
J5L,Saint-Jérôme
J5M,Saint-Lin-Laurentides
J5R,Saint-Jean-sur-Richelieu
J5T,Lavaltrie
J5V,Louiseville
J5W,L'Assomption
J5X,L'Épiphanie
J5Y,Repentigny
J5Z,Repentigny
J6A,Repentigny
J6E,Joliette
J6J,Châteauguay
J6K,Châteauguay
J6N,Chateauguay
J6R,Mercier
J6S,Salaberry-de-Valleyfield
J6T,Salaberry-de-Valleyfield
J6V,Terrebonne
J6W,Terrebonne
J6X,Terrebonne
J6Y,Terrebonne
J6Z,Laval
J7A,Blainville
J7B,Blainville
J7C,Blainville
J7E,Blainville
J7G,Sainte-Thérèse
J7H,Boisbriand
J7J,Mirabel
J7K,Mascouche
J7L,Mascouche
J7M,Terrebonne
J7N,Mirabel
J7P,Saint-Eustache
J7R,Saint-Eustache
J7T,Vaudreuil-Dorion
J7V,Vaudreuil-Dorion
J7W,Pincourt
J7X,Les Coteaux
J7Y,Saint-Jérôme
J7Z,Saint-Jérôme
J8A,Saint-Hippolyte
J8B,Sainte-Adèle
J8C,Sainte-Agathe-des-Monts
J8E,Mont-Tremblant
J8G,Brownsburg-Chatham
J8H,Lachute
J8L,Gatineau
J8M,Gatineau
J8N,Val-des-Monts
J8P,Gatineau
J8R,Gatineau
J8T,Gatineau
J8V,Gatineau
J8X,Hull
J8Y,Hull
J8Z,Gatineau
J9A,Gatineau
J9B,Chelsea
J9E,Egan-Sud
J9H,Gatineau
J9J,Gatineau
J9L,Mont-Laurier
J9P,Val-d'Or
J9T,Amos
J9V,Ville-Marie
J9X,Rouyn-Noranda
J9Y,Rouyn-Noranda
J9Z,La Sarre
